mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.199661922454833,0.10089657458383154,0.2633800983428955,0.09486290182893917,10,-16.74116343789648,-14.279291387605902,-14.382104296205018,-9.158244745195852,-5.329098818156314,-11.977980537011913,4.145414142756747,15
20.14729928970337,0.21056892728307092,0.5213327407836914,0.19423734090050934,20,-11.587064873545025,-13.944542407491658,-13.95008737106765,-8.913723031235445,-5.193255725724177,-10.717734681812793,3.3283765640376655,13
30.30069441795349,0.30808582596208595,0.7865127086639404,0.2936286461752602,30,-11.573951481767727,-13.898739752490389,-13.859122611959647,-8.864245099515257,-5.115340095199607,-10.662279808186526,3.3324792907571887,11
40.37382273674011,0.6640404798426834,1.0532703876495362,0.39019858550706255,40,-11.210556203066352,-13.781881802100223,-13.806096247837306,-8.817767807436711,-5.1145051220746,-10.546161436503038,3.2872090447488573,7
50.43250846862793,0.5103903176503028,1.316212272644043,0.4863831014761973,50,-12.448125215333151,-13.708753107529965,-13.823295870738395,-8.809229438569185,-5.110712188795753,-10.78002316419329,3.3659069251878773,14
60.52593622207642,1.6123065270364454,1.5630918979644775,0.5817283555934215,60,-10.506600454079088,-13.722171708811107,-13.759266653152933,-8.79137075388406,-5.0783867977628905,-10.371559273538015,3.2630069481291484,2
70.37445073127746,0.7595545058724562,1.8037026882171632,0.6661038705362308,70,-10.494443568181907,-13.687138967139173,-13.768235951968617,-8.773005788746673,-5.0872635240612665,-10.362017560019527,3.2565098280974696,1
80.46010580062867,1.0838289658369413,2.0802870750427247,0.769373264231795,80,-11.747670836047165,-13.702582572583294,-13.748325606265022,-8.766156382438725,-5.076632122710025,-10.608273504008846,3.3083335369300615,9
90.46489162445069,1.6825388704067494,2.331083822250366,0.8650527617851002,90,-10.71850928540039,-13.668959919988385,-13.741245572931296,-8.761705851991225,-5.064155702980875,-10.390915266658435,3.2590274168083213,3
101.28316602706909,1.4216234962039058,2.606662130355835,0.9564496334688987,100,-10.944801438061651,-13.674472777512106,-13.738711821179576,-8.760469841444257,-5.08295993700687,-10.440283163040892,3.25935078531388,4
111.06866602897644,1.1935544923790158,2.9114827156066894,1.0859221995254853,110,-12.008161569870529,-13.660098615831727,-13.710827313860502,-8.754240264518074,-5.05469563140642,-10.63760467909745,3.32188284273107,10
121.36971712112427,1.4965905155119428,3.160429000854492,1.168341856559962,120,-12.325298390262281,-13.651360002180168,-13.704568075645069,-8.7471746311513,-5.043376074961851,-10.694355434840132,3.352321938179489,12
131.776132440567,1.8927619814935497,3.4656603813171385,1.3016917363568647,130,-11.096708077641075,-13.653326672532671,-13.721014392606842,-8.749454546569508,-5.053964628486665,-10.454893663567352,3.2676597465273884,5
142.30440797805787,2.0586700311358417,3.7154147148132326,1.3931301066362567,140,-11.599457590564315,-13.62840347340446,-13.699532540159394,-8.748055140847292,-5.064980902661552,-10.548085929527403,3.2811554628286075,8
152.12859578132628,2.530786044679866,3.952444648742676,1.4664224822492542,150,-11.30048875899695,-13.650655286462667,-13.704236184249018,-8.72990924205076,-5.062694988424524,-10.489596892036783,3.2720484858525847,6
